PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D75520001747,REACTION 20X10 8X170 125.1 NLQ -18MM,Fuel 1PC,20X10,8X170,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520001847,REACTION 20X10 8X180 124.3 NLQ -18MM,Fuel 1PC,20X10,8X180,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520002647,REACTION 20X10 5X4.5/5 78 NLQ -18MM,Fuel 1PC,20X10,5X4.5/5.0,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520007047,REACTION 20X10 5X150/5.5 110.2 NLQ -18MM,Fuel 1PC,20X10,5X5.5/150,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520008247,REACTION 20X10 8X6.5 125.2 NLQ -18MM,Fuel 1PC,20X10,8X6.5,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520009847,REACTION 20X10 6X135/5.5 106.1 NLQ -18MM,Fuel 1PC,20X10,6X135/5.5,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D75520901750,REACTION 20X9 8X170 125.1 NLQ 01MM,Fuel 1PC,20X9,8X170,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520901850,REACTION 20X9 8X180 124.3 NLQ 01MM,Fuel 1PC,20X9,8X180,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520901857,REACTION 20X9 8X180 124.3 NLQ 20MM,Fuel 1PC,20X9,8X180,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520902650,REACTION 20X9 5X4.5/5.0 78 NLQ 01MM,Fuel 1PC,20X9,5X4.5/5.0,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520902657,REACTION 20X9 5X4.5/5.0 78 NLQ 20MM,Fuel 1PC,20X9,5X4.5/5.0,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520902750,REACTION 20X9 6X4.5/5.5 78 NLQ 01MM,Fuel 1PC,20X9,6X4.5/5.5,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520907050,REACTION 20X9 5X5.5/150 110.2 NLQ 01MM,Fuel 1PC,20X9,5X5.5/150,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520909452,REACTION 20X9 6X120 67 NLQ +8,Fuel 1PC,20X9,6X120,8,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520909850,REACTION 20X9 6X135/5.5 106.1 NLQ 01MM,Fuel 1PC,20X9,6X135/5.5,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75520909857,REACTION 20X9 6X135/5.5 106.1 NLQ 20MM,Fuel 1PC,20X9,6X135/5.5,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D75522009847,REACTION 22X10 6X135/5.5 106.1 NLQ -18MM,Fuel 1PC,22X10,6X135/5.5,-18,550.00,550.00 ,Matte Black w/ Dark Tint,559.82,-9.82,exact
D75717907545,TRIGGER 17X9 5X5.0 71 BD -12,Fuel 1PC,17X9,5X5.0,-12,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D75717908445,TRIGGER 17X9 6X5.5 106 BD -12,Fuel 1PC,17X9,6X5.5,-12,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D75717908450,TRIGGER 17X9 6X5.5 106 BD +1,Fuel 1PC,17X9,6X5.5,1,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D75720908450,TRIGGER 20X9 6X5.5 106.1 BD 01MM,Fuel 1PC,20X9,6X5.5,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D75720908750,TRIGGER 20X9 6X4.5 66.3 BD 01MM,Fuel 1PC,20X9,6X4.5,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D75720908950,TRIGGER 20X9 6X135 87.1 BD 01MM,Fuel 1PC,20X9,6X135,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D75917908445,TRIGGER 17X9 6X5.5 106 MBD -12,Fuel 1PC,17X9,6X5.5,-12,320.00,320.00 ,Matte Black w/ Dark Tint,398.00,-78.00,exact
D75917908450,TRIGGER 17X9 6X5.5 106 MBD +1,Fuel 1PC,17X9,6X5.5,1,320.00,320.00 ,Matte Black w/ Dark Tint,398.00,-78.00,exact
D75920908450,TRIGGER 20X9 6X5.5 106.1 MBD 01MM,Fuel 1PC,20X9,6X5.5,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D75920908750,TRIGGER 20X9 6X4.5 66.3 MBD 01MM,Fuel 1PC,20X9,6X4.5,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D75920908950,TRIGGER 20X9 6X135 87.1 MBD 01MM,Fuel 1PC,20X9,6X135,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76017908450,CLASH 17X9 6X5.5 106.1 BL 01MM,Fuel 1PC,17X9,6X5.5,1,320.00,320.00 ,Matte Black,398.00,-78.00,exact
D76017908945,CLASH 17X9 6X135 87.1 BL -12MM,Fuel 1PC,17X9,6X135,-12,320.00,320.00 ,Matte Black,398.00,-78.00,exact
D76018908445,CLASH 18X9 6X5.5 106.1 BL -12MM,Fuel 1PC,18X9,6X5.5,-12,370.00,370.00 ,Matte Black,446.54,-76.54,size-avg
D76018908450,CLASH 18X9 6X5.5 106.1 BL 01MM,Fuel 1PC,18X9,6X5.5,1,370.00,370.00 ,Matte Black,446.54,-76.54,size-avg
D76020001747,CLASH 8 20X10 8X170 125 BL -18,Fuel 1PC,20X10,8X170,-18,460.00,460.00 ,Matte Black,464.67,-4.67,exact
D76020001847,CLASH 8 20X10 8X180 124 BL -18,Fuel 1PC,20X10,8X180,-18,460.00,460.00 ,Matte Black,464.67,-4.67,exact
D76020008247,CLASH 8 20X10 8X6.5 125 BL -18,Fuel 1PC,20X10,8X6.5,-18,460.00,460.00 ,Matte Black,464.67,-4.67,exact
D76020008447,CLASH 20X10 6X5.5 106.1 BL -18MM,Fuel 1PC,20X10,6X5.5,-18,460.00,460.00 ,Matte Black,464.67,-4.67,exact
D76020008947,CLASH 20X10 6X135 87.1 BL -18MM,Fuel 1PC,20X10,6X135,-18,460.00,460.00 ,Matte Black,464.67,-4.67,exact
D76020901750,CLASH 8 20X9 8X170 125 BL +01,Fuel 1PC,20X9,8X170,1,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020901757,CLASH 8 20X9 8X170 125 BL +20,Fuel 1PC,20X9,8X170,20,435.00,435.00 ,Matte Black,478.00,-43.00,exact
